,Year_ID_Location,Year_ID,ID,Year_Location,Year,Location,Island,in_out,Least_age,Least_hatchyear,filled,obs,capt,gene_new,Sex,Own_survival,N_Recruits,r2s,parent_in_pedigree,present_in_pedigree,ever_a_parent,ringed_ad_recorded,estimated_pop_size,observed_breeding_popsize,ringnr,flok,flokyear,Island_ID,Year2,IslandYear_ID,ob,ringnr_year,Experienced_breeder,sex,IslandFitness,IslandYearFitness,IslandYearSigma_w,RelPop,logPop,VarIslandYearFitness,w,IDYear
1206,1998_8732254_aldra,1998_8732254,426,1998_aldra,1,Aldra,38,0,1,1997,no,obs,capt,NA,f,1,3,5,yes,yes,yes,2,4,2,8732254,38,381 998,11,1,213,1204,87 322 541 998,0,1,0.908023483,2,0.5,-0.610697541,-2.876949015,1.192412713,2.5,7675
1211,1998_8732255_aldra,1998_8732255,427,1998_aldra,1,Aldra,38,0,1,1997,no,obs,capt,NA,m,0,3,3,yes,yes,yes,2,4,2,8732255,38,381 998,11,1,213,1209,87 322 551 998,0,0,0.908023483,2,0.5,-0.610697541,-2.876949015,1.192412713,1.5,7702
2247,2007_8800422_aldra,2007_8800422,912,2007_aldra,10,Aldra,38,0,7,2000,gene_new,NA,NA,gene_new,m,0,2,2,yes,yes,yes,38,43,41,8800422,38,382 007,11,10,222,2242,88 004 222 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,1,9151
2321,2007_8800495_aldra,2007_8800495,934,2007_aldra,10,Aldra,38,0,7,2000,no,NA,capt,NA,m,1,1,3,yes,yes,yes,38,43,41,8800495,38,382 007,11,10,222,2316,88 004 952 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,1.5,9230
2421,2007_8800935_aldra,2007_8800935,971,2007_aldra,10,Aldra,38,0,6,2001,no,obs,capt,NA,f,1,3,5,yes,yes,yes,38,43,41,8800935,38,382 007,11,10,222,2416,88 009 352 007,1,1,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,2.5,9329
2638,2007_8857284_aldra,2007_8857284,1055,2007_aldra,10,Aldra,38,0,6,2001,no,obs,NA,NA,m,0,0,0,yes,yes,yes,38,43,41,8857284,38,382 007,11,10,222,2633,88 572 842 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,0,163
2807,2007_8887264_aldra,2007_8887264,1120,2007_aldra,10,Aldra,38,0,5,2002,no,NA,capt,NA,m,0,1,1,yes,yes,yes,38,43,41,8887264,38,382 007,11,10,222,2802,88 872 642 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,0.5,336
2935,2007_8887406_aldra,2007_8887406,1166,2007_aldra,10,Aldra,38,0,5,2002,no,obs,capt,NA,f,0,0,0,no,yes,yes,38,43,41,8887406,38,382 007,11,10,222,2930,88 874 062 007,1,1,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,0,469
3226,2007_8934338_aldra,2007_8934338,1283,2007_aldra,10,Aldra,38,0,4,2003,no,obs,NA,NA,m,0,2,2,yes,yes,yes,38,43,41,8934338,38,382 007,11,10,222,3221,89 343 382 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,1,793
3230,2007_8934339_aldra,2007_8934339,1284,2007_aldra,10,Aldra,38,0,4,2003,yes,NA,NA,NA,m,1,0,2,no,yes,yes,38,43,41,8934339,38,382 007,11,10,222,3225,89 343 392 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,1,797
3359,2007_8934537_aldra,2007_8934537,1332,2007_aldra,10,Aldra,38,0,4,2003,no,obs,capt,NA,m,0,1,1,yes,yes,yes,38,43,41,8934537,38,382 007,11,10,222,3354,89 345 372 007,1,0,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,0.5,925
3549,2007_8939095_aldra,2007_8939095,1391,2007_aldra,10,Aldra,38,0,3,2004,no,obs,NA,NA,f,0,0,0,no,yes,yes,38,43,41,8939095,38,382 007,11,10,222,3540,89 390 952 007,1,1,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,0,1097
3552,2007_8939097_aldra,2007_8939097,1392,2007_aldra,10,Aldra,38,0,3,2004,no,NA,capt,NA,f,1,1,3,yes,yes,yes,38,43,41,8939097,38,382 007,11,10,222,3543,89 390 972 007,1,1,0.908023483,1.048780488,0.485060976,0.058163269,-0.50204326,0.019812534,1.5,1100
