"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1,1]",77.9525539640111,0.000883174635094266,0.12361897915083,77.7103602287466,77.8696227144242,77.9525719456384,78.0357193394781,78.1984094502001,19591.9259468512,1.00006717072007
"beta[1,2]",13.4424011598863,0.000287287638214184,0.0387110358355565,13.3674523663506,13.4156563501658,13.4420679091342,13.4685123113325,13.5190737722222,18156.6493673507,0.999959307246668
"beta[2,1]",2.3248037980035,0.00066683604072821,0.101936204825591,2.12113166698008,2.25756471448345,2.32516033028768,2.39323763179839,2.52274950959814,23367.8519397477,1.00010111744259
"beta[2,2]",-0.0652442654314477,0.000220012062271392,0.0337808138411589,-0.131520116401537,-0.088278435836715,-0.0653394839952254,-0.0422074263090469,0.00115960521381001,23574.7574315537,0.999995304726244
"Sigma_A[1,1]",1.74965437843362,0.00324601283156556,0.209176433166219,1.35836567474675,1.60611190450987,1.74257203423106,1.88674332840254,2.17450800359518,4152.64725697392,1.00035215010379
"Sigma_A[1,2]",0.188461427103152,0.000898775121218592,0.0511077111030888,0.0923356521929942,0.153205232627599,0.186472038033612,0.222109117409948,0.294319047108248,3233.48445754708,1.00048455366599
"Sigma_A[2,1]",0.188461427103152,0.000898775121218592,0.0511077111030888,0.0923356521929942,0.153205232627599,0.186472038033612,0.222109117409948,0.294319047108248,3233.48445754708,1.00048455366599
"Sigma_A[2,2]",0.151561530686746,0.000356483568086067,0.020967064112294,0.112700457525038,0.137153531672542,0.150731501078388,0.165119410152066,0.194964725038527,3459.36362211111,1.0008245098473
"Sigma_E[1,1]",1.42045025419461,0.00244601820704207,0.16708541169608,1.10712051621602,1.30598113406358,1.41529908514864,1.5298227507266,1.76286920460503,4666.13925257275,1.00078990682571
"Sigma_E[1,2]",0.395629149766852,0.000738224367889496,0.0448906523681784,0.310930132776012,0.364708121415549,0.394425046170647,0.425503370979293,0.486603563862941,3697.72900840333,1.00106307600012
"Sigma_E[2,1]",0.395629149766852,0.000738224367889496,0.0448906523681784,0.310930132776012,0.364708121415549,0.394425046170647,0.425503370979293,0.486603563862941,3697.72900840333,1.00106307600012
"Sigma_E[2,2]",0.185050545851461,0.000286692647739027,0.0184136430157084,0.150169893217023,0.172450506026975,0.184691315507247,0.197370736901207,0.221993895452518,4125.21252205498,1.00120631914642
"Sigma_R[1,1]",3.28743893894549,0.000756041078116564,0.0861994839362048,3.12083425923573,3.22818164835021,3.28631629769825,3.34413837067087,3.46115230990323,12999.2574808791,0.999974790530048
"Sigma_R[1,2]",0.446181723949653,0.000184122578702785,0.0213838732447656,0.404722805774141,0.431662450834717,0.445752279830087,0.460387214938414,0.488538412130965,13488.3443719406,1.00020874781292
"Sigma_R[2,1]",0.446181723949653,0.000184122578702785,0.0213838732447656,0.404722805774141,0.431662450834717,0.445752279830087,0.460387214938414,0.488538412130965,13488.3443719406,1.00020874781292
"Sigma_R[2,2]",0.343102522180045,7.84579308731354e-05,0.009050306284032,0.325715118588969,0.33693547931508,0.34296174452722,0.349096334638403,0.361405468306904,13306.163420452,1.00013430799513
