"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1,1]",77.5940497307541,0.00153119126515967,0.100023994010536,77.4029340550199,77.5285442939952,77.5918500802744,77.6587184920561,77.7974487447475,4267.26386740486,1.00066047277136
"beta[1,2]",13.3898002785982,0.000512813080769607,0.035350191499175,13.3208388010315,13.3655402762625,13.38976427645,13.413659527449,13.460112487478,4751.87877060641,1.00078740655793
"beta[2,1]",2.22664688469589,0.00165085859112491,0.106081683887857,2.02113635963083,2.15501980943728,2.22687548501137,2.29749814905387,2.43381640095088,4129.15381878626,1.0020191757093
"beta[2,2]",-0.0540910514735495,0.000462885404559129,0.0338621562374412,-0.120508197916335,-0.0768341476132997,-0.053896216549425,-0.0307666295705871,0.0110018184103755,5351.5827381653,1.00013176019263
"Sigma_A[1,1]",0.521974772422467,0.00653447857180312,0.162866836407581,0.23243329478037,0.407641094975122,0.512424618644442,0.623437578663878,0.871453660460769,621.21716140444,1.00641989695915
"Sigma_A[1,2]",0.136000972606761,0.0020526717439185,0.0470307133019383,0.0525446815393315,0.10233370217139,0.133671716081944,0.167241636782599,0.234532641299949,524.957473761742,1.00315022297442
"Sigma_A[2,1]",0.136000972606761,0.0020526717439185,0.0470307133019383,0.0525446815393315,0.10233370217139,0.133671716081944,0.167241636782599,0.234532641299949,524.957473761742,1.00315022297442
"Sigma_A[2,2]",0.112311896470589,0.00085303636410921,0.0223208669468342,0.0725499486510844,0.0965785747536051,0.111377520001187,0.1266413778008,0.159362484421429,684.679030637692,1.00535578638594
"Sigma_E[1,1]",2.63797396409783,0.00620618224577446,0.209904128414904,2.23599951440156,2.49580494051059,2.63707893292386,2.77699919842729,3.06146777373424,1143.91277902643,1.00403594387708
"Sigma_E[1,2]",0.423964983058799,0.00188006712162872,0.0535258718434287,0.320042783667456,0.386986688063656,0.42332386148178,0.460412224698345,0.530803294109089,810.551830026467,1.00307655884727
"Sigma_E[2,1]",0.423964983058799,0.00188006712162872,0.0535258718434287,0.320042783667456,0.386986688063656,0.42332386148178,0.460412224698345,0.530803294109089,810.551830026467,1.00307655884727
"Sigma_E[2,2]",0.220495212855058,0.00076238154310177,0.0222745283095279,0.178180272666344,0.205151151831557,0.220190779130563,0.235428837036664,0.264809848963722,853.635140427932,1.00428954630777
"Sigma_R[1,1]",3.29020034142447,0.0011365996981326,0.0871177863899002,3.12227018826652,3.22960452300103,3.29009751464408,3.34775427143685,3.46510232293067,5874.87446146532,0.999918977554426
"Sigma_R[1,2]",0.447509274977067,0.000302070921366905,0.0219037760441295,0.405461770407761,0.432566193205114,0.44712742670236,0.462226382391281,0.49106659273613,5257.99465403937,0.999981912695971
"Sigma_R[2,1]",0.447509274977067,0.000302070921366905,0.0219037760441295,0.405461770407761,0.432566193205114,0.44712742670236,0.462226382391281,0.49106659273613,5257.99465403937,0.999981912695971
"Sigma_R[2,2]",0.345298107922698,0.00012304968452757,0.00923370111860397,0.327558389802716,0.338978920438041,0.345065249788258,0.351442904485752,0.363946740503767,5631.06598857831,1.00009515068098
"heritability1",0.0808151596297921,0.000998130823407129,0.0246976023771745,0.0363039167330536,0.0635459703981306,0.0795727846445931,0.0964095673240865,0.133098740778194,612.25826168322,1.00672909214697
"heritability2",0.165357496419362,0.00122712179929011,0.0310487972906905,0.108407780024152,0.143394883512022,0.164571211080255,0.185902317676267,0.228669625029447,640.197864981012,1.00562213124112
"cor_A[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"cor_A[1,2]",0.559527153594514,0.00556189878420676,0.120144321766462,0.293175691823623,0.484232044014171,0.573436251448712,0.646397792700423,0.756381233562713,466.616764138784,1.00759047899755
"cor_A[2,1]",0.559527153594514,0.00556189878420676,0.120144321766462,0.293175691823623,0.484232044014171,0.573436251448712,0.646397792700423,0.756381233562713,466.616764138784,1.00759047899755
"cor_A[2,2]",1,7.49583254704147e-19,7.52884838071856e-17,1,1,1,1,1,10088.2851732785,0.999666611092585
"cor_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"cor_E[1,2]",0.555458903836386,0.00146280780713361,0.0437481557849219,0.467587575442156,0.526299544201784,0.556768912105224,0.585474413725451,0.637874803639499,894.427123685426,1.00301175566569
"cor_E[2,1]",0.555458903836386,0.00146280780713361,0.0437481557849219,0.467587575442156,0.526299544201784,0.556768912105224,0.585474413725451,0.637874803639499,894.427123685426,1.00301175566569
"cor_E[2,2]",1,2.55723550294012e-18,8.00241559440641e-17,1,1,1,1,1,979.26617497194,0.999666611092585
"cor_R[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"cor_R[1,2]",0.419778211645508,0.000197919230386545,0.0153884830251302,0.388915206290197,0.409480366222202,0.419851293346964,0.430418762760052,0.44944460413572,6045.26902606449,1.00001709767217
"cor_R[2,1]",0.419778211645508,0.000197919230386545,0.0153884830251302,0.388915206290197,0.409480366222202,0.419851293346964,0.430418762760052,0.44944460413572,6045.26902606449,1.00001709767217
"cor_R[2,2]",1,9.05698877999708e-19,8.74168156878124e-17,1,1,1,1,1,9315.846105613,0.999666611092585
"lp__",-7766.93262074642,1.5726570961608,76.5207650787984,-7914.75976134018,-7818.14642985539,-7766.47659196684,-7715.19675647801,-7615.2001993443,2367.50295292034,1.00049197204984
