"Parameter","Mean","SD","Lower_95","Upper_95"
"Female Mean (Wing)",77.6226560573532,0.117215156347219,77.393514680361,77.8568078606133
"Male Effect (Wing)",2.38668389993661,0.10526048607046,2.17962000148316,2.59477451790773
"Female Mean (Beak)",13.4031113922117,0.0356764880905829,13.3334784616491,13.4741039754337
"Male Effect (Beak)",-0.0721403737711695,0.0327268377249045,-0.136003694989642,-0.00699883639110578
"Loading (Wing)",0.615919848921567,0.020213954840892,0.576569603426292,0.655596239790988
"Loading (Beak)",0.643159035739755,0.0235886846574405,0.596958101691678,0.68966436567445
"Heritability (Latent Size)",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
"VA (Wing)",1.30765272231011,0.184009193956118,0.966134668009673,1.68433207286382
"VPE (Wing)",1.82498090088891,0.167240732399579,1.51340042310642,2.16656446226895
"VR (Wing)",3.99256659308755,0.126523624604246,3.75049052771692,4.24550682797861
"h2 (Wing)",0.183281559472874,0.0234528514630543,0.138800863913086,0.230002743778931
"VA (Beak)",0.117242101016855,0.0165471566968762,0.0864961088585359,0.151433565152233
"VPE (Beak)",0.163765172529863,0.0165321964010913,0.133483104998278,0.197932456363923
"VR (Beak)",0.436048279483794,0.0136367889548197,0.409876832981164,0.463014786441261
"h2 (Beak)",0.163288253137005,0.0209897451808584,0.123601348201568,0.205351194899243
