"Parameter","Mean","SD","Lower_95","Upper_95"
"Female_Mean_Wing",NA,NA,NA,NA
"Male_Effect_Wing",NA,NA,NA,NA
"Female_Mean_Beak",NA,NA,NA,NA
"Male_Effect_Beak",NA,NA,NA,NA
"Loading_Wing",0.615919848921567,0.020213954840892,0.576569603426292,0.655596239790988
"Loading_Beak",0.643159035739755,0.0235886846574405,0.596958101691678,0.68966436567445
"VA_Wing",NA,NA,NA,NA
"VA_Beak",NA,NA,NA,NA
"VR_Wing",NA,NA,NA,NA
"VR_Beak",NA,NA,NA,NA
"h2_Wing",0.183281559472874,0.0234528514630543,0.138800863913086,0.230002743778931
"h2_Beak",0.163288253137005,0.0209897451808584,0.123601348201568,0.205351194899243
"h2_Wing_Indiv_Only",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
"h2_Beak_Indiv_Only",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
"h2_Latent_Size",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
