id dam sire LLRdam LLRsire LLRpair OHdam OHsire MEpair ringnr damringnr sireringnr 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
8L19501 F0338 8934473 17.23 9.01 28.08 NA 0 NA 8L19501 F0338 8934473 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19502_M8_B1 F0338 M0104 19.29 17.19 23.32 NA NA NA 8L19502 F0338 M0104 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19503_O8_B1 8934215 8939495 12.58 15.12 28.86 0 0 0 8L19503 8934215 8939495 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19504_A10_B1 8L52224 8L52241 32.43 27.2 41.05 0 0 0 8L19504 8L52224 8L52241 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19505 NA NA NA NA NA NA NA NA 8L19505 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.337 0.663 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8L19506 8L19505 8857946 12.82 11.08 32.36 0 0 0 8L19506 8L19505 8857946 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19507_C10_B1 8L30947 M0040 9.45 18.7 30.2 0 NA NA 8L19507 8L30947 M0040 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19508_E10_B1 8L30947 M0040 9.58 16.35 25.83 0 NA NA 8L19508 8L30947 M0040 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19509_G10_B1 8L30947 M0040 10.79 20.52 29.41 0 NA NA 8L19509 8L30947 M0040 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19510_I10_B1 8L30947 M0040 7.55 15.61 24.78 0 NA NA 8L19510 8L30947 M0040 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19511_K10_B1 8L30235 M0349 12 0 0.9 0 NA NA 8L19511 8L30235 M0349 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19512_M10_B1 8L30235 8L48404 14.93 28.55 32.58 0 1 1 8L19512 8L30235 8L48404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19513_O10_B1 8L30235 8L48404 14.83 29.78 32.3 0 0 0 8L19513 8L30235 8L48404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19514_A12_B1 8L30235 M0040 11.3 18.46 28.48 0 NA NA 8L19514 8L30235 M0040 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19515_C12_B1 8L30235 8L48404 15.28 26.23 32.07 0 1 1 8L19515 8L30235 8L48404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19516_E12_B1 8939874 M0089 10.91 20.83 31.91 0 NA NA 8L19516 8939874 M0089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19517_G12_B1 8939874 M0089 11.15 22.84 34.06 0 NA NA 8L19517 8939874 M0089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19518_I12_B1 8939874 M0089 11.98 22.07 33.21 0 NA NA 8L19518 8939874 M0089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
